team.name,position,matches,wins ,draws,losses,scoresFor,scoresAgainst,points
Mumbai City FC,1,20,12,4,4,35,18,40
ATK Mohun Bagan,2,20,12,4,4,28,15,40
NorthEast United FC ,3,20,8,9,3,31,25,33
FC Goa ,4,20,7,10,3,31,23,31
Hyderabad FC,5,20,6,11,3,27,19,29
Jamshedpur FC,6,20,7,6,7,21,22,27
Bengaluru FC,7,20,5,7,8,26,28,22
Chennaiyin FC,8,20,3,11,6,17,23,20
SC East Bengal,9,20,3,8,9,22,33,17
Kerala Blasters FC,10,20,3,8,9,23,36,17
Odisha FC,11,20,2,6,12,25,44,12
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
